CCHE1D_Channel,Reach_ID,Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left,Upstream_Reach_ID_1,Upstream_Reach_ID_2,y_US,x_US,y_DS,x_DS
540,273,2731,2732,2733,,,3795464.6207244,236399.11401283,3795404.6207244,236426.11401283
643,170,0,1702,1703,172.0,171.0,3795447.6207244,235370.11401283,3795423.6207244,235497.11401283
642,171,1711,1712,1713,,,3795420.6207244,235325.11401283,3795446.6207244,235369.11401283
489,424,4241,4242,4243,,,3795317.6207244,238022.11401283,3795435.6207244,238036.11401283
490,423,4231,4232,4233,,,3795296.6207244,238158.11401283,3795435.6207244,238037.11401283
545,268,2681,2682,2683,,,3795418.6207244,236149.11401283,3795426.6207244,236042.11401283
623,190,0,1902,1903,268.0,191.0,3795426.6207244,236041.11401283,3795378.6207244,235999.11401283
644,169,0,1692,1693,175.0,170.0,3795422.6207244,235498.11401283,3795334.6207244,235648.11401283
627,186,1861,1862,1863,,,3795418.6207244,235905.11401283,3795359.6207244,235877.11401283
529,284,2841,2842,2843,,,3795416.6207244,236736.11401283,3795308.6207244,236705.11401283
541,272,0,2722,2723,274.0,273.0,3795403.6207244,236425.11401283,3795385.6207244,236187.11401283
542,271,2711,2712,2713,,,3795394.6207244,236252.11401283,3795386.6207244,236187.11401283
521,292,2921,2922,2923,,,3795392.6207244,236975.11401283,3795103.6207244,236956.11401283
486,427,0,4272,4273,429.0,428.0,3795312.6207244,237707.11401283,3795386.6207244,237662.11401283
543,270,0,2702,2703,272.0,271.0,3795385.6207244,236186.11401283,3795354.6207244,236086.11401283
504,309,0,3092,3093,427.0,310.0,3795385.6207244,237661.11401283,3795221.6207244,237486.11401283
624,189,0,1892,1893,269.0,190.0,3795377.6207244,235998.11401283,3795363.6207244,235942.11401283
544,269,0,2692,2693,275.0,270.0,3795354.6207244,236085.11401283,3795377.6207244,235999.11401283
661,152,1521,1522,1523,,,3795372.6207244,234964.11401283,3795157.6207244,234951.11401283
625,188,0,1882,1883,508.0,189.0,3795362.6207244,235942.11401283,3795288.6207244,235834.11401283
405,508,5081,5082,5083,,,3794992.6207244,236207.11401283,3795361.6207244,235943.11401283
629,184,0,1842,1843,186.0,185.0,3795359.6207244,235876.11401283,3795328.6207244,235832.11401283
510,303,0,3032,3033,305.0,304.0,3795356.6207244,237456.11401283,3795183.6207244,237445.11401283
538,275,0,2752,2753,507.0,276.0,3795341.6207244,236118.11401283,3795353.6207244,236086.11401283
536,277,0,2772,2773,279.0,278.0,3795286.6207244,236457.11401283,3795296.6207244,236293.11401283
406,507,5071,5072,5073,,,3795317.6207244,236126.11401283,3795340.6207244,236118.11401283
537,276,0,2762,2763,506.0,277.0,3795295.6207244,236292.11401283,3795340.6207244,236119.11401283
660,153,1531,1532,1533,,,3795336.6207244,235076.11401283,3794837.6207244,235416.11401283
645,168,0,1682,1683,176.0,169.0,3795333.6207244,235649.11401283,3795204.6207244,235692.11401283
631,182,0,1822,1823,184.0,183.0,3795327.6207244,235831.11401283,3795310.6207244,235822.11401283
528,285,2851,2852,2853,,,3795318.6207244,236760.11401283,3795306.6207244,236705.11401283
632,181,0,1812,1813,187.0,182.0,3795310.6207244,235821.11401283,3795204.6207244,235693.11401283
484,429,4291,4292,4293,,,3795203.6207244,237714.11401283,3795311.6207244,237707.11401283
485,428,4281,4282,4283,,,3795213.6207244,237804.11401283,3795311.6207244,237708.11401283
626,187,0,1872,1873,509.0,188.0,3795289.6207244,235833.11401283,3795309.6207244,235822.11401283
530,283,0,2832,2833,285.0,284.0,3795307.6207244,236704.11401283,3795227.6207244,236659.11401283
535,278,2781,2782,2783,,,3795296.6207244,236495.11401283,3795285.6207244,236458.11401283
407,506,5061,5062,5063,,,3795090.6207244,236296.11401283,3795294.6207244,236293.11401283
404,509,0,5092,5093,511.0,510.0,3795020.6207244,235972.11401283,3795288.6207244,235833.11401283
534,279,0,2792,2793,503.0,280.0,3795245.6207244,236486.11401283,3795285.6207244,236457.11401283
649,164,1641,1642,1643,,,3795272.6207244,235477.11401283,3795141.6207244,235530.11401283
533,280,0,2802,2803,500.0,281.0,3795212.6207244,236587.11401283,3795245.6207244,236487.11401283
527,286,2861,2862,2863,,,3795241.6207244,236723.11401283,3795227.6207244,236661.11401283
410,503,0,5032,5033,505.0,504.0,3794912.6207244,236470.11401283,3795244.6207244,236487.11401283
662,151,1511,1512,1513,,,3795236.6207244,234836.11401283,3795166.6207244,234904.11401283
663,150,1501,1502,1503,,,3795231.6207244,234765.11401283,3795165.6207244,234903.11401283
531,282,0,2822,2823,286.0,283.0,3795226.6207244,236660.11401283,3795197.6207244,236653.11401283
506,307,0,3072,3073,309.0,308.0,3795221.6207244,237485.11401283,3795196.6207244,237459.11401283
532,281,0,2812,2813,287.0,282.0,3795197.6207244,236652.11401283,3795212.6207244,236588.11401283
413,500,0,5002,5003,502.0,501.0,3795190.6207244,236589.11401283,3795211.6207244,236588.11401283
