Reach_ID,Receiving_Reach,Vegetation_Code,Elevation,Slope,Mannings_n,Infiltration_Rate,Hydraulic_Geom_ID,Length,Top_Width,Flow_Depth,Valley_Width,Valley_Mannings_n,Start_Diversion,Stop_Diversion,Travel_Time,Clay_Scour_Code,Silt_Scour_Code,Sand_Scour_Code,Small_Agg_Scour_Code,Large_Agg_Scour_Code,Valley_Clay_Scour_Code,Valley_Silt_Scour_Code,Valley_Sand_Scour_Code,Valley_Small_Agg_Scour_Code,Valley_Large_Agg_Scour_Code,Delivery_Ratio,Input_Units_Code
218,217,,100.37,0.01200,,,,208.01,,,,,,,,,,,,,,,,,,,1
219,217,,99.84,0.01736,,,,80.38,,,,,,,,,,,,,,,,,,,1
220,219,,101.26,0.00864,,,,208.33,,,,,,,,,,,,,,,,,,,1
221,220,,102.89,0.01141,,,,122.74,,,,,,,,,,,,,,,,,,,1
222,220,,102.87,0.01425,,,,98.25,,,,,,,,,,,,,,,,,,,1
223,219,,101.28,0.02131,,,,51.63,,,,,,,,,,,,,,,,,,,1
224,206,,89.10,0.00002,,,,11.83,,,,,,,,,,,,,,,,,,,1
225,224,,92.97,0.03393,,,,135.57,,,,,,,,,,,,,,,,,,,1
226,224,,90.15,0.00774,,,,271.17,,,,,,,,,,,,,,,,,,,1
227,226,,93.83,0.05774,,,,76.21,,,,,,,,,,,,,,,,,,,1
228,226,,91.20,0.00002,,,,35.66,,,,,,,,,,,,,,,,,,,1
229,228,,91.72,0.00706,,,,155.75,,,,,,,,,,,,,,,,,,,1
230,229,,97.77,0.03123,,,,285.04,,,,,,,,,,,,,,,,,,,1
231,229,,93.43,0.00951,,,,210.34,,,,,,,,,,,,,,,,,,,1
232,231,,100.08,0.01608,,,,603.33,,,,,,,,,,,,,,,,,,,1
233,232,,104.32,0.00735,,,,68.04,,,,,,,,,,,,,,,,,,,1
234,233,,105.35,0.01794,,,,111.50,,,,,,,,,,,,,,,,,,,1
235,233,,106.65,0.01784,,,,291.45,,,,,,,,,,,,,,,,,,,1
236,232,,105.53,0.01784,,,,168.20,,,,,,,,,,,,,,,,,,,1
237,231,,100.42,0.02831,,,,324.92,,,,,,,,,,,,,,,,,,,1
238,228,,91.81,0.00493,,,,283.87,,,,,,,,,,,,,,,,,,,1
239,238,,92.96,0.00665,,,,105.28,,,,,,,,,,,,,,,,,,,1
240,239,,95.97,0.01632,,,,428.90,,,,,,,,,,,,,,,,,,,1
241,240,,101.04,0.01595,,,,93.98,,,,,,,,,,,,,,,,,,,1
242,241,,104.65,0.01801,,,,338.63,,,,,,,,,,,,,,,,,,,1
243,241,,105.89,0.02216,,,,379.10,,,,,,,,,,,,,,,,,,,1
244,240,,100.83,0.01405,,,,71.14,,,,,,,,,,,,,,,,,,,1
245,244,,102.00,0.01103,,,,181.30,,,,,,,,,,,,,,,,,,,1
246,245,,104.64,0.02195,,,,100.23,,,,,,,,,,,,,,,,,,,1
247,246,,105.65,0.01051,,,,28.56,,,,,,,,,,,,,,,,,,,1
248,246,,105.50,0.00002,,,,5.24,,,,,,,,,,,,,,,,,,,1
249,248,,108.84,0.01685,,,,385.89,,,,,,,,,,,,,,,,,,,1
250,248,,107.48,0.01392,,,,301.68,,,,,,,,,,,,,,,,,,,1
251,245,,106.01,0.02410,,,,199.17,,,,,,,,,,,,,,,,,,,1
252,244,,102.97,0.02325,,,,137.61,,,,,,,,,,,,,,,,,,,1
253,239,,95.65,0.04795,,,,93.84,,,,,,,,,,,,,,,,,,,1
254,253,,98.65,0.01550,,,,122.57,,,,,,,,,,,,,,,,,,,1
255,253,,99.33,0.01572,,,,203.55,,,,,,,,,,,,,,,,,,,1
256,255,,102.12,0.01211,,,,247.78,,,,,,,,,,,,,,,,,,,1
257,255,,101.49,0.01880,,,,47.87,,,,,,,,,,,,,,,,,,,1
258,238,,93.62,0.03559,,,,61.80,,,,,,,,,,,,,,,,,,,1
259,258,,99.59,0.02124,,,,339.09,,,,,,,,,,,,,,,,,,,1
260,259,,102.73,0.03665,,,,49.11,,,,,,,,,,,,,,,,,,,1
261,259,,103.08,0.01657,,,,108.64,,,,,,,,,,,,,,,,,,,1
262,258,,99.40,0.03392,,,,203.45,,,,,,,,,,,,,,,,,,,1
263,203,,91.92,0.05035,,,,85.40,,,,,,,,,,,,,,,,,,,1
264,202,,95.56,0.01954,,,,741.98,,,,,,,,,,,,,,,,,,,1
265,201,,88.96,0.02081,,,,76.77,,,,,,,,,,,,,,,,,,,1
266,265,,91.13,0.01651,,,,163.62,,,,,,,,,,,,,,,,,,,1
267,265,,96.18,0.05649,,,,148.72,,,,,,,,,,,,,,,,,,,1
268,190,,89.06,0.02985,,,,140.71,,,,,,,,,,,,,,,,,,,1
269,189,,85.59,0.00104,,,,97.36,,,,,,,,,,,,,,,,,,,1
270,269,,89.38,0.03457,,,,127.25,,,,,,,,,,,,,,,,,,,1
271,270,,90.26,0.00520,,,,76.94,,,,,,,,,,,,,,,,,,,1
272,270,,90.54,0.00416,,,,288.40,,,,,,,,,,,,,,,,,,,1
273,272,,91.62,0.01084,,,,82.98,,,,,,,,,,,,,,,,,,,1
274,272,,92.87,0.02146,,,,256.28,,,,,,,,,,,,,,,,,,,1
275,269,,85.67,0.00510,,,,38.97,,,,,,,,,,,,,,,,,,,1
276,275,,86.14,0.00282,,,,213.20,,,,,,,,,,,,,,,,,,,1
277,276,,86.72,0.00260,,,,231.28,,,,,,,,,,,,,,,,,,,1
278,277,,90.55,0.08453,,,,50.87,,,,,,,,,,,,,,,,,,,1
279,277,,87.00,0.00002,,,,55.36,,,,,,,,,,,,,,,,,,,1
280,279,,87.23,0.00299,,,,133.44,,,,,,,,,,,,,,,,,,,1
281,280,,88.43,0.02684,,,,74.53,,,,,,,,,,,,,,,,,,,1
282,281,,91.05,0.06542,,,,38.21,,,,,,,,,,,,,,,,,,,1
283,282,,92.67,0.01486,,,,148.01,,,,,,,,,,,,,,,,,,,1
284,283,,96.59,0.03852,,,,134.98,,,,,,,,,,,,,,,,,,,1
285,283,,95.12,0.03094,,,,67.87,,,,,,,,,,,,,,,,,,,1
286,282,,92.79,0.01585,,,,88.33,,,,,,,,,,,,,,,,,,,1
287,281,,89.40,0.00002,,,,120.85,,,,,,,,,,,,,,,,,,,1
288,287,,89.40,0.00002,,,,116.37,,,,,,,,,,,,,,,,,,,1
289,288,,89.60,0.00699,,,,113.94,,,,,,,,,,,,,,,,,,,1
290,289,,90.56,0.00819,,,,61.11,,,,,,,,,,,,,,,,,,,1
291,290,,91.89,0.05296,,,,45.31,,,,,,,,,,,,,,,,,,,1
292,291,,98.19,0.03052,,,,330.94,,,,,,,,,,,,,,,,,,,1
293,291,,93.58,0.00705,,,,99.36,,,,,,,,,,,,,,,,,,,1
294,290,,90.99,0.00294,,,,136.23,,,,,,,,,,,,,,,,,,,1
295,294,,93.76,0.02320,,,,168.10,,,,,,,,,,,,,,,,,,,1
296,295,,99.17,0.01655,,,,471.39,,,,,,,,,,,,,,,,,,,1
297,295,,95.57,0.00972,,,,113.23,,,,,,,,,,,,,,,,,,,1
298,294,,91.18,0.00173,,,,115.71,,,,,,,,,,,,,,,,,,,1
299,298,,91.58,0.00540,,,,55.67,,,,,,,,,,,,,,,,,,,1
300,299,,91.74,0.00423,,,,94.57,,,,,,,,,,,,,,,,,,,1
301,300,,92.66,0.00347,,,,260.04,,,,,,,,,,,,,,,,,,,1
302,301,,93.06,0.00378,,,,79.18,,,,,,,,,,,,,,,,,,,1
303,302,,96.37,0.02189,,,,219.27,,,,,,,,,,,,,,,,,,,1
304,303,,99.94,0.01787,,,,268.59,,,,,,,,,,,,,,,,,,,1
305,303,,99.15,0.01155,,,,311.82,,,,,,,,,,,,,,,,,,,1
306,302,,93.20,0.00002,,,,19.97,,,,,,,,,,,,,,,,,,,1
307,306,,93.43,0.00745,,,,40.28,,,,,,,,,,,,,,,,,,,1
308,307,,97.12,0.01280,,,,422.00,,,,,,,,,,,,,,,,,,,1
309,307,,93.98,0.00297,,,,336.82,,,,,,,,,,,,,,,,,,,1
310,309,,94.55,0.00136,,,,220.18,,,,,,,,,,,,,,,,,,,1
311,310,,100.35,0.02332,,,,394.55,,,,,,,,,,,,,,,,,,,1
