26704
CP_ID	CP_CSID	CP_POSIDX	CP_W	CP_Z	CP_RGH	CP_BLOCK
466	59	2	-35	2	0.025	1
467	59	3	-13	2	0.025	1
468	59	4	-10	0	0.025	1
469	59	5	10	0	0.025	1
470	59	6	13	2	0.025	1
471	59	7	35	2	0.025	1
472	59	8	43	6	0.025	1
473	60	1	-43	6	0.025	1
474	60	2	-35	2	0.025	1
475	60	3	-13	2	0.025	1
476	60	4	-10	0	0.025	1
477	60	5	10	0	0.025	1
478	60	6	13	2	0.025	1
479	60	7	35	2	0.025	1
480	60	8	43	6	0.025	1
481	61	1	-43	6	0.025	1
482	61	2	-35	2	0.025	1
483	61	3	-13	2	0.025	1
484	61	4	-10	0	0.025	1
485	61	5	10	0	0.025	1
486	61	6	13	2	0.025	1
487	61	7	35	2	0.025	1
488	61	8	43	6	0.025	1
489	62	1	-43	6	0.025	1
490	62	2	-35	2	0.025	1
491	62	3	-13	2	0.025	1
492	62	4	-10	0	0.025	1
493	62	5	10	0	0.025	1
494	62	6	13	2	0.025	1
495	62	7	35	2	0.025	1
496	62	8	43	6	0.025	1
497	63	1	-43	6	0.025	1
498	63	2	-35	2	0.025	1
499	63	3	-13	2	0.025	1
500	63	4	-10	0	0.025	1
501	63	5	10	0	0.025	1
502	63	6	13	2	0.025	1
503	63	7	35	2	0.025	1
504	63	8	43	6	0.025	1
505	64	1	-43	6	0.025	1
506	64	2	-35	2	0.025	1
507	64	3	-13	2	0.025	1
508	64	4	-10	0	0.025	1
509	64	5	10	0	0.025	1
510	64	6	13	2	0.025	1
511	64	7	35	2	0.025	1
512	64	8	43	6	0.025	1
513	65	1	-43	6	0.025	1
514	65	2	-35	2	0.025	1
515	65	3	-13	2	0.025	1
516	65	4	-10	0	0.025	1
517	65	5	10	0	0.025	1
518	65	6	13	2	0.025	1
519	65	7	35	2	0.025	1
520	65	8	43	6	0.025	1
521	66	1	-43	6	0.025	1
522	66	2	-35	2	0.025	1
523	66	3	-13	2	0.025	1
524	66	4	-10	0	0.025	1
525	66	5	10	0	0.025	1
526	66	6	13	2	0.025	1
527	66	7	35	2	0.025	1
528	66	8	43	6	0.025	1
529	67	1	-43	6	0.025	1
530	67	2	-35	2	0.025	1
531	67	3	-13	2	0.025	1
532	67	4	-10	0	0.025	1
533	67	5	10	0	0.025	1
534	67	6	13	2	0.025	1
535	67	7	35	2	0.025	1
536	67	8	43	6	0.025	1
537	68	1	-43	6	0.025	1
538	68	2	-35	2	0.025	1
539	68	3	-13	2	0.025	1
540	68	4	-10	0	0.025	1
541	68	5	10	0	0.025	1
542	68	6	13	2	0.025	1
543	68	7	35	2	0.025	1
544	68	8	43	6	0.025	1
545	69	1	-43	6	0.025	1
546	69	2	-35	2	0.025	1
547	69	3	-13	2	0.025	1
548	69	4	-10	0	0.025	1
549	69	5	10	0	0.025	1
550	69	6	13	2	0.025	1
551	69	7	35	2	0.025	1
552	69	8	43	6	0.025	1
553	70	1	-43	6	0.025	1
554	70	2	-35	2	0.025	1
555	70	3	-13	2	0.025	1
556	70	4	-10	0	0.025	1
557	70	5	10	0	0.025	1
558	70	6	13	2	0.025	1
559	70	7	35	2	0.025	1
560	70	8	43	6	0.025	1
561	71	1	-43	6	0.025	1
562	71	2	-35	2	0.025	1
563	71	3	-13	2	0.025	1
564	71	4	-10	0	0.025	1
565	71	5	10	0	0.025	1
566	71	6	13	2	0.025	1
567	71	7	35	2	0.025	1
568	71	8	43	6	0.025	1
569	72	1	-43	6	0.025	1
570	72	2	-35	2	0.025	1
571	72	3	-13	2	0.025	1
572	72	4	-10	0	0.025	1
573	72	5	10	0	0.025	1
574	72	6	13	2	0.025	1
575	72	7	35	2	0.025	1
576	72	8	43	6	0.025	1
577	73	1	-43	6	0.025	1
578	73	2	-35	2	0.025	1
579	73	3	-13	2	0.025	1
580	73	4	-10	0	0.025	1
581	73	5	10	0	0.025	1
582	73	6	13	2	0.025	1
583	73	7	35	2	0.025	1
584	73	8	43	6	0.025	1
585	74	1	-43	6	0.025	1
586	74	2	-35	2	0.025	1
587	74	3	-13	2	0.025	1
588	74	4	-10	0	0.025	1
589	74	5	10	0	0.025	1
590	74	6	13	2	0.025	1
591	74	7	35	2	0.025	1
592	74	8	43	6	0.025	1
593	75	1	-43	6	0.025	1
594	75	2	-35	2	0.025	1
595	75	3	-13	2	0.025	1
596	75	4	-10	0	0.025	1
597	75	5	10	0	0.025	1
598	75	6	13	2	0.025	1
599	75	7	35	2	0.025	1
600	75	8	43	6	0.025	1
601	76	1	-43	6	0.025	1
602	76	2	-35	2	0.025	1
603	76	3	-13	2	0.025	1
604	76	4	-10	0	0.025	1
605	76	5	10	0	0.025	1
606	76	6	13	2	0.025	1
607	76	7	35	2	0.025	1
608	76	8	43	6	0.025	1
609	77	1	-43	6	0.025	1
610	77	2	-35	2	0.025	1
611	77	3	-13	2	0.025	1
612	77	4	-10	0	0.025	1
613	77	5	10	0	0.025	1
614	77	6	13	2	0.025	1
615	77	7	35	2	0.025	1
616	77	8	43	6	0.025	1
617	78	1	-43	6	0.025	1
618	78	2	-35	2	0.025	1
619	78	3	-13	2	0.025	1
