811
LK_ID	LK_CMPSEQ	LK_NDUSID	LK_NDDSID	LK_RCUSID	LK_RCDSID	LK_TYPE
451	451	55320	55426	451	451	1
452	452	55427	55437	452	452	1
453	453	55438	55524	453	453	1
454	454	55525	55576	454	454	1
455	455	55577	55608	455	455	1
456	456	55609	55780	456	456	1
457	457	55781	55876	457	457	1
458	458	55877	56110	458	458	1
459	459	56111	56212	459	459	1
460	460	56213	56291	460	460	1
461	461	56292	56404	461	461	1
462	462	56405	56442	462	462	1
463	463	56443	56595	463	463	1
464	464	56596	56601	464	464	1
465	465	56602	56898	465	465	1
466	466	56899	57150	466	466	1
467	467	57151	57202	467	467	1
468	468	57203	57217	468	468	1
469	469	57218	57372	469	469	1
470	470	57373	57462	470	470	1
471	471	57463	57564	471	471	1
472	472	57565	57600	472	472	1
473	473	57601	57715	473	473	1
474	474	57716	57846	474	474	1
475	475	57847	57916	475	475	1
476	476	57917	57992	476	476	1
477	477	57993	58123	477	477	1
478	478	58124	58147	478	478	1
479	479	58148	58283	479	479	1
480	480	58284	58339	480	480	1
481	481	58340	58389	481	481	1
482	482	58390	58449	482	482	1
483	483	58450	58585	483	483	1
484	484	58586	58681	484	484	1
485	485	58682	58781	485	485	1
486	486	58782	58889	486	486	1
487	487	58890	59047	487	487	1
488	488	59048	59077	488	488	1
489	489	59078	59193	489	489	1
490	490	59194	59333	490	490	1
491	491	59334	59505	491	491	1
492	492	59506	59665	492	492	1
493	493	59666	59746	493	493	1
494	494	59747	59809	494	494	1
495	495	59810	59868	495	495	1
496	496	59869	60219	496	496	1
497	497	60220	60302	497	497	1
498	498	60303	60434	498	498	1
499	499	60435	60452	499	499	1
500	500	60453	60478	500	500	1
501	501	60479	60504	501	501	1
502	502	60505	60776	502	502	1
503	503	60777	60917	503	503	1
504	504	60918	61138	504	504	1
505	505	61139	61422	505	505	1
506	506	61423	61448	506	506	1
507	507	61449	61460	507	507	1
508	508	61461	61656	508	508	1
509	509	61657	61846	509	509	1
510	510	61847	62017	510	510	1
511	511	62018	62075	511	511	1
512	512	62076	62265	512	512	1
513	513	62266	62328	513	513	1
514	514	62329	62358	514	514	1
515	515	62359	62435	515	515	1
516	516	62436	62514	516	516	1
517	517	62515	62837	517	517	1
518	518	62838	62954	518	518	1
519	519	62955	63056	519	519	1
520	520	63057	63137	520	520	1
521	521	63138	63392	521	521	1
522	522	63393	63432	522	522	1
523	523	63433	63476	523	523	1
524	524	63477	63572	524	524	1
525	525	63573	63646	525	525	1
526	526	63647	63719	526	526	1
527	527	63720	63779	527	527	1
528	528	63780	63833	528	528	1
529	529	63834	63936	529	529	1
530	530	63937	64062	530	530	1
531	531	64063	64089	531	531	1
532	532	64090	64146	532	532	1
533	533	64147	64232	533	533	1
534	534	64233	64268	534	534	1
535	535	64269	64305	535	535	1
536	536	64306	64464	536	536	1
537	537	64465	64633	537	537	1
538	538	64634	64664	538	538	1
539	539	64665	64847	539	539	1
540	540	64848	64898	540	540	1
541	541	64899	65153	541	541	1
542	542	65154	65212	542	542	1
543	543	65213	65314	543	543	1
544	544	65315	65392	544	544	1
545	545	65393	65493	545	545	1
546	546	65494	65579	546	546	1
547	547	65580	65674	547	547	1
548	548	65675	65732	548	548	1
549	549	65733	66244	549	549	1
550	550	66245	66297	550	550	1
551	551	66298	66429	551	551	1
552	552	66430	66502	552	552	1
553	553	66503	66535	553	553	1
554	554	66536	66765	554	554	1
555	555	66766	66817	555	555	1
556	556	66818	66851	556	556	1
557	557	66852	67055	557	557	1
558	558	67056	67193	558	558	1
559	559	67194	67284	559	559	1
560	560	67285	67354	560	560	1
561	561	67355	67446	561	561	1
562	562	67447	67590	562	562	1
563	563	67591	67784	563	563	1
564	564	67785	68050	564	564	1
565	565	68051	68055	565	565	1
566	566	68056	68076	566	566	1
567	567	68077	68142	567	567	1
568	568	68143	68284	568	568	1
569	569	68285	68348	569	569	1
570	570	68349	68595	570	570	1
571	571	68596	68840	571	571	1
572	572	68841	68902	572	572	1
573	573	68903	69187	573	573	1
574	574	69188	69277	574	574	1
575	575	69278	69489	575	575	1
576	576	69490	69704	576	576	1
577	577	69705	69827	577	577	1
578	578	69828	70047	578	578	1
579	579	70048	70131	579	579	1
580	580	70132	70187	580	580	1
581	581	70188	70622	581	581	1
582	582	70623	70779	582	582	1
583	583	70780	70993	583	583	1
584	584	70994	71096	584	584	1
585	585	71097	71130	585	585	1
586	586	71131	71196	586	586	1
587	587	71197	71413	587	587	1
588	588	71414	71518	588	588	1
589	589	71519	71530	589	589	1
590	590	71531	71570	590	590	1
591	591	71571	71644	591	591	1
592	592	71645	71738	592	592	1
593	593	71739	71917	593	593	1
594	594	71918	71989	594	594	1
595	595	71990	72175	595	595	1
596	596	72176	72246	596	596	1
597	597	72247	72376	597	597	1
598	598	72377	72491	598	598	1
599	599	72492	72728	599	599	1
