1739
CS_ID	CS_NPTS	CS_LOB	CS_LBT	CS_ROB	CS_RBT	CS_SVTYPE	CS_TYPE	CS_ORIGIN	CS_STATION
224	8	1	1	8	8	WZ	MC	USERSPEC	
225	8	1	1	8	8	WZ	MC	USERSPEC	
226	8	1	1	8	8	WZ	MC	USERSPEC	
227	8	1	1	8	8	WZ	MC	USERSPEC	
228	8	1	1	8	8	WZ	MC	USERSPEC	
229	8	1	1	8	8	WZ	MC	USERSPEC	
230	8	1	1	8	8	WZ	MC	USERSPEC	
231	8	1	1	8	8	WZ	MC	USERSPEC	
232	8	1	1	8	8	WZ	MC	USERSPEC	
233	8	1	1	8	8	WZ	MC	USERSPEC	
234	8	1	1	8	8	WZ	MC	USERSPEC	
235	8	1	1	8	8	WZ	MC	USERSPEC	
236	8	1	1	8	8	WZ	MC	USERSPEC	
237	8	1	1	8	8	WZ	MC	USERSPEC	
238	8	1	1	8	8	WZ	MC	USERSPEC	
239	8	1	1	8	8	WZ	MC	USERSPEC	
240	8	1	1	8	8	WZ	MC	USERSPEC	
241	8	1	1	8	8	WZ	MC	USERSPEC	
242	8	1	1	8	8	WZ	MC	USERSPEC	
243	8	1	1	8	8	WZ	MC	USERSPEC	
244	8	1	1	8	8	WZ	MC	USERSPEC	
245	8	1	1	8	8	WZ	MC	USERSPEC	
246	8	1	1	8	8	WZ	MC	USERSPEC	
247	8	1	1	8	8	WZ	MC	USERSPEC	
248	8	1	1	8	8	WZ	MC	USERSPEC	
249	8	1	1	8	8	WZ	MC	USERSPEC	
250	8	1	1	8	8	WZ	MC	USERSPEC	
251	8	1	1	8	8	WZ	MC	USERSPEC	
252	8	1	1	8	8	WZ	MC	USERSPEC	
253	8	1	1	8	8	WZ	MC	USERSPEC	
254	8	1	1	8	8	WZ	MC	USERSPEC	
255	8	1	1	8	8	WZ	MC	USERSPEC	
256	8	1	1	8	8	WZ	MC	USERSPEC	
257	8	1	1	8	8	WZ	MC	USERSPEC	
258	8	1	1	8	8	WZ	MC	USERSPEC	
259	8	1	1	8	8	WZ	MC	USERSPEC	
260	8	1	1	8	8	WZ	MC	USERSPEC	
261	8	1	1	8	8	WZ	MC	USERSPEC	
262	8	1	1	8	8	WZ	MC	USERSPEC	
263	8	1	1	8	8	WZ	MC	USERSPEC	
264	8	1	1	8	8	WZ	MC	USERSPEC	
265	8	1	1	8	8	WZ	MC	USERSPEC	
266	8	1	1	8	8	WZ	MC	USERSPEC	
267	8	1	1	8	8	WZ	MC	USERSPEC	
268	8	1	1	8	8	WZ	MC	USERSPEC	
269	8	1	1	8	8	WZ	MC	USERSPEC	
270	8	1	1	8	8	WZ	MC	USERSPEC	
271	8	1	1	8	8	WZ	MC	USERSPEC	
272	8	1	1	8	8	WZ	MC	USERSPEC	
273	8	1	1	8	8	WZ	MC	USERSPEC	
274	8	1	1	8	8	WZ	MC	USERSPEC	
275	8	1	1	8	8	WZ	MC	USERSPEC	
276	8	1	1	8	8	WZ	MC	USERSPEC	
277	8	1	1	8	8	WZ	MC	USERSPEC	
278	8	1	1	8	8	WZ	MC	USERSPEC	
279	8	1	1	8	8	WZ	MC	USERSPEC	
280	8	1	1	8	8	WZ	MC	USERSPEC	
281	8	1	1	8	8	WZ	MC	USERSPEC	
282	8	1	1	8	8	WZ	MC	USERSPEC	
283	8	1	1	8	8	WZ	MC	USERSPEC	
