Reach_ID,Upstream_End_Row,Upstream_End_Column,Downstream_End_Row,Downstream_End_Column,Receiving_Reach,Drainage_Area_[ha],Average_Elevation_[m],Reach_Length_[m],Distance_Upstream_End_to_Outlet_[m],Distance_Downstream_End_to_Outlet_[m],Reach_Slope_[m/m],Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left
104,2858,3255,3079,3206,102,5.52,94.09,284.79,6023.84,5739.04,0.02774,1041,1042,1043,
105,3197,3343,3222,3332,101,1.50,87.46,36.73,5546.11,5509.38,0.07623,1051,1052,1053,
106,3419,3446,3438,3437,98,21.54,82.30,26.56,5201.59,5175.03,0.00002,0,1062,1063,
107,3174,3492,3418,3445,106,19.00,84.34,297.45,5499.02,5201.57,0.01210,0,1072,1073,
108,2936,3431,3173,3492,107,4.39,90.57,286.66,5785.67,5499.00,0.03070,1081,1082,1083,
109,2826,3591,3173,3493,107,11.73,90.96,456.83,5955.82,5498.99,0.02080,0,1092,1093,
110,2799,3531,2825,3590,109,1.92,96.08,71.18,6027.00,5955.81,0.02107,1101,1102,1103,
111,2816,3599,2825,3592,109,3.02,95.45,13.90,5969.72,5955.82,0.01439,0,1112,1113,
112,2754,3588,2815,3599,111,1.53,97.86,66.56,6036.27,5969.71,0.08264,1121,1122,1123,
113,2794,3640,2815,3600,111,1.47,96.66,53.87,6023.58,5969.71,0.04084,1131,1132,1133,
114,3362,3617,3418,3446,106,2.49,84.93,199.68,5401.26,5201.58,0.01652,1141,1142,1143,
115,3733,3484,3722,3418,97,1317.59,77.50,78.77,4885.46,4806.69,0.00002,0,1152,1153,
116,3693,3519,3733,3485,115,11.27,80.19,66.50,4951.95,4885.45,0.05708,0,1162,1163,
117,3488,3598,3692,3520,116,2.72,82.17,270.19,5222.12,4951.93,0.00851,1171,1172,1173,
118,3536,3783,3693,3520,116,6.83,81.78,401.72,5353.65,4951.93,0.00249,1181,1182,1183,
